ID,Lon,lat,cst,pob,UTMX,UTMY,UTMZ
251400,-105.28843,21.26156,6,0,2160321.7742,1031649.0616,13
251401,-105.2594,21.26218,6,0,2163321.7742,1031649.0616,13
251402,-105.23037,21.2628,6,0,2166321.7742,1031649.0616,13
251403,-105.20133,21.26341,6,0,2169321.7742,1031649.0616,13
251404,-105.1723,21.26401,6,1333,2172321.7742,1031649.0616,13
251405,-105.14327,21.26461,6,10,2175321.7742,1031649.0616,13
251406,-105.11423,21.26521,6,1,2178321.7742,1031649.0616,13
251407,-105.0852,21.2658,6,518,2181321.7742,1031649.0616,13
251408,-105.05616,21.26638,6,0,2184321.7742,1031649.0616,13
251409,-105.02713,21.26696,6,0,2187321.7742,1031649.0616,13
251410,-104.99809,21.26753,6,0,2190321.7742,1031649.0616,13
251411,-104.96906,21.26809,6,0,2193321.7742,1031649.0616,13
251412,-104.94002,21.26865,6,154,2196321.7742,1031649.0616,13
251413,-104.91098,21.26921,6,27,2199321.7742,1031649.0616,13
251414,-104.88195,21.26976,6,26,2202321.7742,1031649.0616,13
251415,-104.85291,21.2703,6,1,2205321.7742,1031649.0616,13
251416,-104.82387,21.27084,6,0,2208321.7742,1031649.0616,13
251417,-104.79484,21.27138,6,0,2211321.7742,1031649.0616,13
251418,-104.7658,21.2719,6,0,2214321.7742,1031649.0616,13
251419,-104.73676,21.27243,6,2,2217321.7742,1031649.0616,13
251420,-104.70772,21.27294,6,4,2220321.7742,1031649.0616,13
251421,-104.67869,21.27345,6,202,2223321.7742,1031649.0616,13
251422,-104.64965,21.27396,6,30,2226321.7742,1031649.0616,13
251423,-104.62061,21.27446,6,0,2229321.7742,1031649.0616,13
