GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_T,
5924956,08037,1.29712E-06,,1.29712E-06,1324497,,1.718030175,1324497
5924957,08037,0.000744838,,0.000744838,1324497,,986.5355996,1324497
5924958,08037,0.005757777,,0.005757777,1324497,,7626.158369,1324497
5924959,08037,0.006050733,,0.006050733,1324497,,8014.177842,1324497
5924960,08037,0.006899101,,0.006899101,1324497,,9137.838868,1324497
5924961,08037,0.003790659,,0.003790659,1324497,,5020.715844,1324497
5924962,08037,0.004162471,,0.004162471,1324497,,5513.180553,1324497
5924963,08037,0.003953601,,0.003953601,1324497,,5236.532637,1324497
5924964,08037,0.003891545,,0.003891545,1324497,,5154.340027,1324497
5924965,08037,0.004095944,,0.004095944,1324497,,5425.064978,1324497
5924966,08037,0.00603384,,0.00603384,1324497,,7991.802665,1324497
5924967,08037,0.002795011,,0.002795011,1324497,,3701.983429,1324497
5924968,08037,0.001507915,,0.001507915,1324497,,1997.228933,1324497
5924969,08037,0.001336657,,0.001336657,1324497,,1770.398622,1324497
5924970,08037,0.001201655,,0.001201655,1324497,,1591.588719,1324497
5924971,08037,0.000372832,,0.000372832,1324497,,493.8144361,1324497
5924972,08037,1.27513E-05,,1.27513E-05,1324497,,16.88904275,1324497
5928134,08037,0.000353246,,0.000353246,1324497,,467.8729233,1324497
5928135,08037,0.00214243,,0.00214243,1324497,,2837.642311,1324497
5928136,08037,0.004972818,,0.004972818,1324497,,6586.482002,1324497
5928137,08037,0.005722634,,0.005722634,1324497,,7579.611052,1324497
5928138,08037,0.004436557,,0.004436557,1324497,,5876.206907,1324497
5928139,08037,0.003429327,,0.003429327,1324497,,4542.133572,1324497
5928140,08037,0.003929803,,0.003929803,1324497,,5205.012843,1324497
5928141,08037,0.003470128,,0.003470128,1324497,,4596.173491,1324497
5928142,08037,0.005085361,,0.005085361,1324497,,6735.544948,1324497
5928143,08037,0.003869841,,0.003869841,1324497,,5125.593189,1324497
5928144,08037,0.000249856,,0.000249856,1324497,,330.9334719,1324497
5928145,08037,0.001645484,,0.001645484,1324497,,2179.438492,1324497
5928146,08037,0.001413459,,0.001413459,1324497,,1872.122044,1324497
5928147,08037,0.002432216,,0.002432216,1324497,,3221.463392,1324497
5928148,08037,0.001623505,,0.001623505,1324497,,2150.327782,1324497
5928149,08037,0.000272115,,0.000272115,1324497,,360.4157578,1324497
5931312,08037,0.001770796,,0.001770796,1324497,,2345.413614,1324497
5931313,08037,0.003096815,,0.003096815,1324497,,4101.721813,1324497
5931314,08037,0.004086394,,0.004086394,1324497,,5412.416256,1324497
5931315,08037,0.004959936,,0.004959936,1324497,,6569.419834,1324497
5931316,08037,0.005816896,,0.005816896,1324497,,7704.461681,1324497
5931317,08037,0.005540955,,0.005540955,1324497,,7338.978174,1324497
5931318,08037,0.002467725,,0.002467725,1324497,,3268.494748,1324497
5931319,08037,0.002515294,,0.002515294,1324497,,3331.499939,1324497
5931320,08037,0.003303549,,0.003303549,1324497,,4375.540726,1324497
5931321,08037,0.001487361,,0.001487361,1324497,,1970.005291,1324497
5931322,08037,0.00099665,,0.00099665,1324497,,1320.060436,1324497
5931323,08037,0.002633514,,0.002633514,1324497,,3488.081207,1324497
5931324,08037,0.002958855,,0.002958855,1324497,,3918.994629,1324497
5931325,08037,0.002015987,,0.002015987,1324497,,2670.168678,1324497
5931326,08037,0.001093908,,0.001093908,1324497,,1448.878265,1324497
5931327,08037,0.000117208,,0.000117208,1324497,,155.2415047,1324497
5934490,08037,0.001162065,,0.001162065,1324497,,1539.15101,1324497
5934491,08037,0.003487227,,0.003487227,1324497,,4618.821324,1324497
5934492,08037,0.003520517,,0.003520517,1324497,,4662.914304,1324497
5934493,08037,0.004383696,,0.004383696,1324497,,5806.191629,1324497
5934494,08037,0.004758242,,0.004758242,1324497,,6302.277038,1324497
5934495,08037,0.00342423,,0.00342423,1324497,,4535.381891,1324497
5934496,08037,0.002620196,,0.002620196,1324497,,3470.441582,1324497
5934497,08037,0.002785206,,0.002785206,1324497,,3688.996488,1324497
5934498,08037,0.00262615,,0.00262615,1324497,,3478.3278,1324497
5934499,08037,0.002068514,,0.002068514,1324497,,2739.74077,1324497
5934500,08037,0.000875694,,0.000875694,1324497,,1159.853554,1324497
5934501,08037,0.000838742,,0.000838742,1324497,,1110.911193,1324497
5934502,08037,0.001456998,,0.001456998,1324497,,1929.789711,1324497
5934503,08037,0.001767704,,0.001767704,1324497,,2341.319031,1324497
5934504,08037,0.000382758,,0.000382758,1324497,,506.9620355,1324497
5934505,08037,2.03644E-05,,2.03644E-05,1324497,,26.97259299,1324497
5937667,08037,,0.000654108,0.000654108,,7644,5,7644
5937668,08037,2.26808E-05,,2.26808E-05,1324497,,30.04062071,1324497
5937669,08037,0.003208137,,0.003208137,1324497,,4249.167647,1324497
5937670,08037,0.003698458,,0.003698458,1324497,,4898.596233,1324497
5937671,08037,0.003693319,,0.003693319,1324497,,4891.789986,1324497
5937672,08037,0.00420797,,0.00420797,1324497,,5573.443633,1324497
5937673,08037,0.002270621,,0.002270621,1324497,,3007.430569,1324497
5937674,08037,0.005736736,,0.005736736,1324497,,7598.289533,1324497
5937675,08037,0.00431434,,0.00431434,1324497,,5714.331012,1324497
5937676,08037,0.003376465,,0.003376465,1324497,,4472.118182,1324497
5937677,08037,0.002753756,,0.002753756,1324497,,3647.34194,1324497
