GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_tot
28405,7071,,0.002608948,0.001935553,,54,54
28406,7040,,0.020231812,0.007613077,,391,391
28406,7071,,0.021016523,0.015591957,,435,435
28407,7032,,0.005005906,0.002959957,,89,89
28407,7040,,0.017489393,0.006581125,,338,338
28408,7057,,0.00050701,0.000332759,,23,23
28409,7057,,0.007693325,0.005049263,,349,349
28410,7057,,0.012146195,0.007971759,,551,551
28411,7057,,0.011925756,0.007827081,,541,541
28412,7057,,0.015254387,0.010011719,,692,692
28413,7057,,0.012763425,0.008376857,,579,579
28414,7057,,0.032426594,0.021282137,,1471,1471
28415,7057,,0.010647209,0.006987948,,483,483
28416,7057,,0.02975928,0.019531533,,1350,1350
29447,7051,,0.001847433,0.00109307,,48,48
29448,7051,,0.018397352,0.010885159,,478,478
29449,7051,,0.014279116,0.008448523,,371,371
29450,7051,,0.020706643,0.012251497,,538,538
29451,7051,,0.00127011,0.000751486,,33,33
29452,7003,,0.001112053,0.000761421,,21,21
29452,7051,,0.002001386,0.00118416,,52,52
29453,7003,,0.00238297,0.001631617,,45,45
29454,7003,,0.033997035,0.023277737,,642,642
29455,7003,,0.002753654,0.001885424,,52,52
29456,7003,0.140639374,0.004130481,0.047171864,1223,78,1301
29457,7003,0.142594296,0.011544164,0.052864394,1240,218,1458
29457,7032,,0.015805163,0.009345484,,281,281
29458,7003,,0.000953188,0.000652647,,18,18
29458,7032,,0.002137353,0.001263802,,38,38
29459,7032,0.172186508,0.022329715,0.083577225,2116,397,2513
29460,7032,,0.001349907,0.000798191,,24,24
29461,7032,,0.022667192,0.013402953,,403,403
29461,7071,,0.000821335,0.000609341,,17,17
29462,7071,,0.017876123,0.013262124,,370,370
29463,7071,,0.02575128,0.019104627,,533,533
29464,7032,,0.027110636,0.016030331,,482,482
29464,7071,,0.004444874,0.003297609,,92,92
29465,7032,,0.041397154,0.02447785,,736,736
29466,7032,,0.016423871,0.009711321,,292,292
29466,7040,,0.021732381,0.008177729,,420,420
29467,7040,,0.027424195,0.010319516,,530,530
29467,7057,,0.012124151,0.007957291,,550,550
29468,7057,,0.009787497,0.006423704,,444,444
29469,7057,,0.025041883,0.016435423,,1136,1136
29470,7057,,0.034079887,0.022367222,,1546,1546
29471,7057,,0.015254387,0.010011719,,692,692
29472,7057,,0.019486818,0.012789537,,884,884
29473,7057,,0.008332599,0.005468829,,378,378
29474,7057,,0.006811569,0.004470551,,309,309
29475,7053,,0.157411878,0.125497241,,978,978
29475,7057,,0.004034036,0.002647608,,183,183
30503,7051,,0.000307905,0.000182178,,8,8
30504,7051,,0.011200062,0.006626739,,291,291
30505,7051,,0.001885921,0.001115843,,49,49
30506,7051,,0.017011777,0.010065357,,442,442
30508,7051,,0.005388346,0.003188122,,140,140
30509,7051,,0.008813794,0.005214857,,229,229
30510,7051,,0.001462551,0.000865347,,38,38
30511,7051,,0.03729505,0.022066358,,969,969
30513,7003,,0.000847278,0.000580131,,16,16
30514,7003,,0.019116713,0.013089195,,361,361
30515,7001,,0.013657383,0.007553229,,127,127
30515,7003,0.004369825,0.062486761,0.044162437,38,1180,1218
30516,7001,,0.052908915,0.02926133,,492,492
30516,7003,0.000114995,,3.63E-05,1,,1
30516,7032,,0.020023623,0.01183983,,356,356
30517,7001,0.762075848,0.024303689,0.354050196,5727,226,5953
30517,7032,0.000488242,0.000843692,0.000698417,6,15,21
30518,7001,0.002927478,0.01311969,0.008564292,22,122,144
30518,7032,0.60607047,0.002587322,0.249235067,7448,46,7494
