GRIDCODE,CVENTMUN,Suma de Fc
219807,22012,0.031243632
219809,22012,0.010934165
219810,22012,0.005798543
219829,13029,0.005230315
219829,13059,0.015654627
220811,11023,0.000280525
220816,11001,0.000295004
220817,11001,0.022187688
220818,11001,0.000846176
220823,11001,0.014114356
220823,11017,0.001451472
220823,11024,0.042426206
220824,11024,0.021695506
220835,11027,0.008796944
220837,11011,0.032145917
220837,11044,0.012766447
220850,11005,0.007455015
220852,11004,0.010050107
220853,11004,0.004728523
220854,11004,0.038575485
220854,22006,0.016086984
220866,22012,0.011904188
220867,22012,0.009978815
220868,22012,0.007049197
220869,22012,0.035327336
220870,22016,0.019024029
220871,22016,0.001265571
220887,13029,0.018285992
220887,13059,0.008405897
220888,13059,0.001122564
221874,11012,0.026935214
221875,11001,0.009855998
221875,11012,0.049629084
221881,11017,0.006604425
221882,11017,0.001880403
221883,11024,0.023585723
221907,11005,0.005472069
221909,11005,0.011660497
221911,11004,8.31309E-05
221911,11005,0.007406014
221912,11004,0.033941359
221912,11005,0.001357519
221913,11004,0.010102528
221913,22006,0.012471505
221914,22006,0.049053209
221915,22006,0.023705194
221916,22006,0.003648263
221917,22006,0.012161153
221918,22008,0.01555153
221918,22014,0.006026924
221925,22012,0.009672705
221926,22012,0.00690725
221927,22012,0.018457669
221928,22012,0.003381377
221928,22016,0.003970341
221929,22016,0.010841284
221929,22017,0.00411124
221943,13059,0.031014404
221944,13059,0.055790585
221945,13029,0.001905916
221945,13059,0.050093771
221946,13029,0.00915663
221960,13030,0.011477546
221961,13030,0.029021245
221962,13015,0.029560751
221962,13030,0.005949263
221963,13015,0.002426665
221964,13015,0.004432135
222932,11012,0.015377383
222933,11012,0.079834159
222939,11017,0.001887414
222940,11017,0.001026045
222942,11024,0.107821506
222943,11024,0.175736548
222944,11024,0.20201607
222944,11027,0.00245926
222945,11027,0.014554632
222966,11005,0.02654756
222967,11005,0.025656077
222968,11005,0.019979838
222970,11005,0.024628468
222973,22006,0.047564197
222976,22006,0.000103793
222976,22014,0.004722435
222977,22014,0.011778517
222984,22012,0.041955312
222985,22012,0.035313896
222986,22012,0.028336883
222987,22012,0.004213046
222987,22017,0.016597137
222988,22016,0.001912307
222988,22017,0.024827235
223000,13059,0.010728356
223001,13059,0.042306455
223002,13059,0.074960601
223003,13059,0.027088625
223020,13030,0.015538023
223022,13015,0.025624537
223991,11012,0.069732483
224001,11017,0.005548968
224001,11024,0.010168886
224002,11017,0.005410361
224002,11024,0.061144345
224003,11017,0.000460142
224003,11024,0.035625056
224003,11027,0.012098071
224004,11017,0.009398721
224004,11027,0.022824418
224005,11027,0.001280424
224009,11027,0.004314041
224010,11027,0.012139147
224011,11027,0.012662469
224011,11035,0.002354016
224012,11035,0.018784202
224019,11007,0.000910174
224020,11007,0.013459523
224025,11005,0.020296499
224026,11005,0.010915025
224029,11005,0.023232085
224031,11005,0.001077223
224032,11005,0.004109434
224032,22006,0.002145846
224045,22005,0.016529361
224045,22012,0.003193671
224055,22007,0.008988748
224059,13059,0.024160148
224059,22004,0.001545051
224062,13059,0.059138423
224063,13059,0.005772022
224081,13015,0.020274132
225050,11012,0.038973109
225054,11001,0.013562762
225061,11017,0.012559073
225063,11017,0.012740138
225064,11017,0.000432246
225064,11027,0.008478726
225067,11027,0.00104139
225070,11027,0.001001787
225071,11027,0.000196208
225071,11035,0.028699397
225072,11035,0.048499929
225073,11035,0.031346862
225074,11035,0.031316173
225075,11035,0.024940426
225076,11035,0.025623727
225077,11007,0.005565178
225077,11035,0.016437599
225079,11007,0.004515929
225080,11007,0.006887815
225081,11007,0.004055016
225085,11005,0.024922993
225088,11005,0.025030606
225090,22014,0.001503686
225091,22014,0.009990077
225104,22005,0.021398547
225105,22005,0.001463731
225106,22017,0.00690295
225107,22017,0.022260657
225108,22017,0.023460726
225109,22017,0.025088765
225110,22017,0.021698394
225114,22007,0.042595241
225117,22004,0.001035863
225118,22004,0.010649301
