GRIDCODE,CVE ENTCVE MUN,LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),LONG VIALIDAD x SENTIDO x CELDA
170058,15019,197261.2488,10244.72078
171117,15019,197261.2488,304.0617457
171119,15019,197261.2488,40151.67301
172177,15019,197261.2488,19327.8944
172177,15051,560926.9613,171.8239881
189133,15020,949831.4493,109402.3041
189134,15020,949831.4493,107779.6911
187015,15020,949831.4493,59553.71367
187016,15020,949831.4493,74278.52218
188074,15020,949831.4493,351115.6752
188075,15020,949831.4493,225296.1178
187016,15033,5835403.7,139957.1953
188073,15020,949831.4493,21727.83968
188073,15109,2166634.735,225086.7703
159458,15021,36938.7269,15774.90482
159459,15021,36938.7269,10386.35754
160517,15021,36938.7269,8681.506356
160518,15021,36938.7269,2095.957834
172198,15022,80231.2247,69405.0442
173257,15022,80231.2247,9941.506877
172197,15022,80231.2247,572.7081912
193365,15023,283298.0186,109221.6925
194424,15023,283298.0186,17457.05791
194425,15023,283298.0186,35891.4555
193366,15023,283298.0186,97705.48684
192307,15023,283298.0186,17811.03944
192306,15023,283298.0186,2923.952164
192307,15091,389043.3914,129017.6111
193365,15095,693191.1611,111619.1974
192306,15091,389043.3914,31.22442616
189131,15024,625009.6227,245623.1114
188072,15024,625009.6227,7172.055325
189130,15024,625009.6227,65095.77861
189132,15024,625009.6227,29159.43331
189132,15108,497592.7767,155691.1839
188071,15024,625009.6227,16506.97351
190190,15024,625009.6227,120344.9182
190191,15024,625009.6227,64071.48768
191249,15024,625009.6227,26641.04839
190190,15053,303299.0104,11329.77447
191249,15053,303299.0104,9343.320399
192309,15024,625009.6227,14302.1152
193368,15024,625009.6227,8633.032282
192308,15024,625009.6227,6199.490499
193367,15024,625009.6227,2395.836939
174315,15025,1844916.265,246658.4913
173256,15025,1844916.265,153980.2411
173255,15025,1844916.265,204186.5414
174314,15025,1844916.265,217057.8751
172197,15025,1844916.265,4011.974953
173257,15025,1844916.265,118252.7017
173258,15025,1844916.265,97902.39801
172199,15025,1844916.265,38984.83955
172198,15025,1844916.265,5170.41258
174316,15025,1844916.265,90245.35302
171135,15025,1844916.265,38001.15864
172194,15025,1844916.265,2762.540626
171136,15025,1844916.265,54379.28181
172195,15025,1844916.265,17011.21981
172195,09011,714607.9184,1610.924629
172194,09011,714607.9184,1223.783107
171135,09011,714607.9184,428.1209772
171135,09009,417300.7833,1262.346626
175375,15025,1844916.265,86955.26322
175374,15025,1844916.265,2969.616839
174317,15025,1844916.265,137603.2382
174318,15025,1844916.265,15059.54559
172196,15025,1844916.265,145377.992
172200,15025,1844916.265,79134.92031
172200,15103,301535.52,46500.49892
171137,15025,1844916.265,62886.99542
173259,15025,1844916.265,24553.76461
194413,15026,276111.096,24868.56136
194414,15026,276111.096,6235.351764
195470,15026,276111.096,38341.57893
195471,15026,276111.096,11189.93489
196529,15026,276111.096,32605.68601
196530,15026,276111.096,20086.57604
196528,15026,276111.096,76103.8361
195469,15026,276111.096,2201.285202
196527,15026,276111.096,54805.27786
197586,15026,276111.096,7232.592335
197587,15026,276111.096,2440.416618
171115,15027,44856.1005,35002.74637
171114,15027,44856.1005,9112.655681
170055,15027,44856.1005,740.6982028
171115,15055,32022.2231,1422.703532
171115,15054,1388439.686,213.6184896
184905,15028,226113.7193,122968.062
184905,15030,181624.3848,50710.42968
