GRIDCODE	CVEENTMUN	Fter
165860	21102	0.11100407
165860	21126	0.110517609
165860	21126	0.00982259
165860	21140	0.04119251
165861	21126	0.100135893
165861	21140	0.047602285
165861	21140	0.032631275
165862	21119	0.083613182
165862	21119	0.180553687
165862	21140	0.019096624
165863	21119	0.570625509
165863	21140	0.064109051
166870	15118	0.187502795
166871	15118	0.112564308
166872	15106	0.037213204
166892	9012	0.297468628
166893	9012	0.400128834
166893	17009	1
166910	15009	0.154373167
166911	15009	0.028500419
166911	15009	0.03420904
166911	15009	0.254101498
166911	21138	0.039515638
166912	21138	0.220139361
166913	21138	0.156716632
166914	21138	0.148090822
166915	21138	0.073807234
166915	21138	0.056797209
166916	21026	0.07491848
166916	21138	0.184828991
166916	21138	0.095513124
166916	21102	0.015599811
166916	21138	0.024590989
166917	21102	0.088849056
166920	21126	0.092074176
166920	21140	0.128419214
166920	21140	0.10480476
166921	21140	0.098806908
166921	21140	0.112839872
166922	21140	0.12693971
166922	21140	0.112679772
166924	21041	0.040591666
166924	21041	0.003434811
166924	21140	0.022229275
166924	21041	0.073066886
167929	15118	0.115572053
167930	15118	0.237377422
167930	15106	0.006553923
167931	15106	0.04009652
167943	15101	1
167951	9012	0.302402538
167964	15017	0.656147296
167969	15009	0.258325935
167970	15009	0.270489941
167975	21026	0.388884562
167976	21026	0.536196958
167980	21090	0.28051725
167980	21090	0.074560775
167981	21090	0.165144276
167981	21140	0.046743153
167981	21090	0.04893604
167983	21041	0.214317734
167983	21041	0.209585614
167983	21041	0.046047762
167993	21001	0.034799032
167993	21001	0.234859091
167994	21001	0.052935251
167999	21004	1
168996	15073	0.054330577
168996	15073	0.094213145
168996	15073	0.064203785
168997	15073	0.155762428
169023	15017	0.343852704
169034	21060	0.120971872
169034	21074	0.865600988
169035	21060	0.879028128
169038	21074	0.002388111
169038	21090	0.253326774
169039	21090	0.068390513
169039	21090	0.069260153
169039	21181	0.193244351
169039	21090	0.039864219
169040	21034	0.1320426
169040	21034	0.035230855
169040	21034	0.004659413
169040	21034	0.204220756
169041	21034	0.436108244
169042	21041	0.00336413
169043	21041	0.399682009
169052	21001	0.677406626
169058	21104	0.016957484
169061	21152	0.059361699
170054	15018	0.333362113
170055	15018	0.101022285
170056	15073	0.379049107
170056	15018	0.106235056
170057	15073	0.252440959
170096	21074	0.132010901
170098	21181	0.806755649
170099	21034	0.187738131
170099	21136	0.976963399
170099	21136	0.023036601
170102	21041	0.009909388
170114	21104	0.042975616
170118	21104	0.008415356
170119	21152	0.172838765
170120	21152	0.458432309
171112	15018	0.459380546
171153	21048	0.017437039
171153	21048	0.005456985
171172	21104	0.05884201
171173	21104	0.031434866
171177	21104	0.142974338
171177	21152	0.119387112
171178	21152	0.189980115
172171	15054	0.65613058
172172	15054	0.34386942
172211	21048	0.130533673
172212	21048	0.017622709
172212	21048	0.262440305
172212	21048	0.391480352
172216	29023	0.611150846
172217	29023	0.388849154
172220	29059	0.864578714
172221	29059	0.135421286
172221	29029	0.919374155
172221	29041	0.237474439
172221	29029	0.080625845
172221	29022	0.509765618
172221	29041	0.312667754
172222	29041	0.449857807
172222	29022	0.346468729
172222	29017	0.283394782
172223	29017	0.702370591
172224	29025	1
172224	29017	0.014234627
172234	21104	0.090714097
172235	21104	0.222924801
172235	21104	0.158084119
172236	21104	0.01709782
173225	15118	0.080914406
173226	15118	0.029900271
173253	9011	0.239717833
173253	15122	0.069918577
173270	21048	0.100857392
173271	21048	0.074171545
173271	21132	0.053511253
173272	21132	0.011511355
173280	29022	0.143765653
173293	21104	0.046600703
173294	21117	0.279800673
173294	21104	0.057180332
173294	21117	0.041416173
173294	21117	0.266448269
173294	21104	0.000458692
173294	21117	0.412334885
173294	21104	0.031649589
174278	15114	0.000829139
174278	15007	0.372769562
174279	15114	0.041286214
174279	15007	0.627230438
174279	15005	0.002190712
174285	15118	0.105959179
174292	15051	0.007625758
174312	9011	0.557230461
174312	15122	0.51385883
174314	15122	0.099350435
174314	15039	0.021664737
174314	15025	0.031550363
174321	15025	0.29515503
174321	15025	0.001822897
174322	15025	0.201346702
174339	29048	0.091170255
174339	29060	0.97612158
174340	29048	0.090216644
174340	29050	0.04768529
174340	29050	0.065410717
174340	29048	0.058413068
174340	29048	0.004235152
174341	29050	0.226336344
174342	29050	0.243059203
174343	29050	0.064935722
174343	29050	0.182618965
174343	29010	0.108112432
174344	29010	0.143803959
174353	21104	0.073690177
174353	21128	0.753310957
175330	15032	0.784947898
175333	15111	0.112026132
175333	15032	0.035753264
175334	15111	0.08691918
175338	15114	0.066205854
175339	15005	0.00838478
175340	15005	0.010878678
175341	15005	0.060324011
175348	15106	0.020299712
175349	15106	0.020362338
