CELL,"X (Coord. GEOF.,ITRF92)","Y (Coord. GEOF.,ITRF92)",uso,pob,UTMX,Utmy,UTMZ
137247,-98.99367,18.33042,6,0,2817321.774,707649.0616,14
137248,-98.96526,18.32985,6,145,2820321.774,707649.0616,14
137249,-98.93685,18.32927,6,0,2823321.774,707649.0616,14
137250,-98.90843,18.32869,6,0,2826321.774,707649.0616,14
137251,-98.88002,18.3281,6,0,2829321.774,707649.0616,14
137252,-98.85161,18.32751,6,7083,2832321.774,707649.0616,14
137253,-98.82319,18.32691,6,196,2835321.774,707649.0616,14
137254,-98.79478,18.32631,6,0,2838321.774,707649.0616,14
137255,-98.76637,18.3257,6,17,2841321.774,707649.0616,14
137256,-98.73796,18.32508,6,184,2844321.774,707649.0616,14
137257,-98.70955,18.32446,6,4,2847321.774,707649.0616,14
137258,-98.68113,18.32384,6,39,2850321.774,707649.0616,14
137259,-98.65272,18.32321,6,390,2853321.774,707649.0616,14
137260,-98.62431,18.32257,6,191,2856321.774,707649.0616,14
137261,-98.5959,18.32193,6,536,2859321.774,707649.0616,14
137262,-98.56749,18.32128,6,153,2862321.774,707649.0616,14
137263,-98.53908,18.32063,6,0,2865321.774,707649.0616,14
137264,-98.51067,18.31997,6,0,2868321.774,707649.0616,14
137265,-98.48226,18.31931,6,0,2871321.774,707649.0616,14
137266,-98.45385,18.31864,6,0,2874321.774,707649.0616,14
137267,-98.42545,18.31797,6,0,2877321.774,707649.0616,14
