GRIDCODE,LONG,LATITUDE,Huso,Pob,X_long(NALCC),Y_lat(NALCC),UTMz
120,96,IE 2016 Colima V4.0,,,,,
1352048,-103.8490823,18.68399578,6,0,2305321.774,744649.0616,13
1352049,-103.8395852,18.68411218,6,0,2306321.774,744649.0616,13
1352050,-103.8300881,18.68422798,6,0,2307321.774,744649.0616,13
1352051,-103.820591,18.68434318,6,0,2308321.774,744649.0616,13
1352052,-103.8110938,18.68445778,6,0,2309321.774,744649.0616,13
1352053,-103.8015967,18.68457178,6,0,2310321.774,744649.0616,13
1352054,-103.7920995,18.68468519,6,0,2311321.774,744649.0616,13
1352055,-103.7826023,18.68479799,6,0,2312321.774,744649.0616,13
1352056,-103.7731051,18.6849102,6,0,2313321.774,744649.0616,13
1352057,-103.7636078,18.6850218,6,0,2314321.774,744649.0616,13
1352058,-103.7541106,18.68513281,6,0,2315321.774,744649.0616,13
1352059,-103.7446133,18.68524321,6,3,2316321.774,744649.0616,13
1352060,-103.7351161,18.68535302,6,437,2317321.774,744649.0616,13
1352061,-103.7256188,18.68546223,6,0,2318321.774,744649.0616,13
1352062,-103.7161215,18.68557084,6,0,2319321.774,744649.0616,13
1352063,-103.7066242,18.68567885,6,0,2320321.774,744649.0616,13
1352064,-103.6971268,18.68578626,6,0,2321321.774,744649.0616,13
1352065,-103.6876295,18.68589307,6,0,2322321.774,744649.0616,13
1352066,-103.6781321,18.68599928,6,0,2323321.774,744649.0616,13
1352067,-103.6686347,18.68610489,6,1248.701445,2324321.774,744649.0616,13
1352068,-103.6591373,18.6862099,6,878.6859308,2325321.774,744649.0616,13
1352069,-103.6496399,18.68631431,6,0,2326321.774,744649.0616,13
1352070,-103.6401425,18.68641813,6,0,2327321.774,744649.0616,13
1352071,-103.6306451,18.68652134,6,4,2328321.774,744649.0616,13
1352072,-103.6211476,18.68662396,6,0,2329321.774,744649.0616,13
1352073,-103.6116501,18.68672597,6,21,2330321.774,744649.0616,13
1352074,-103.6021527,18.68682739,6,8,2331321.774,744649.0616,13
1352075,-103.5926552,18.6869282,6,0,2332321.774,744649.0616,13
1352076,-103.5831577,18.68702842,6,14,2333321.774,744649.0616,13
1352077,-103.5736601,18.68712804,6,0,2334321.774,744649.0616,13
1352078,-103.5641626,18.68722706,6,0,2335321.774,744649.0616,13
1352079,-103.554665,18.68732548,6,0,2336321.774,744649.0616,13
1352080,-103.5451675,18.6874233,6,0,2337321.774,744649.0616,13
1352081,-103.5356699,18.68752052,6,18,2338321.774,744649.0616,13
1352082,-103.5261723,18.68761714,6,0,2339321.774,744649.0616,13
1352083,-103.5166747,18.68771316,6,0,2340321.774,744649.0616,13
1352084,-103.5071771,18.68780858,6,0,2341321.774,744649.0616,13
1352085,-103.4976795,18.6879034,6,8,2342321.774,744649.0616,13
1352086,-103.4881818,18.68799763,6,0,2343321.774,744649.0616,13
