GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_tot
134188,30169,,0.082129708,0.048335347,,1160,1160
134189,30077,,0.010679734,0.004027959,,170,170
134190,30077,,0.003769318,0.001421633,,60,60
134191,30077,,0.000062822,2.37E-05,,1,1
134192,30077,,0.001193617,0.000450184,,19,19
134193,30094,,0.001358412,0.000699056,,26,26
134194,30094,,0.000835946,0.000430188,,16,16
134195,30094,,0.000208986,0.000107547,,4,4
134196,30094,,0.021212121,0.010916033,,406,406
134197,30094,,0.010449321,0.005377356,,200,200
134198,30094,,0.000417973,0.000215094,,8,8
134201,30073,,0.000923045,0.000648275,,27,27
134203,30073,,0.010768863,0.007563207,,315,315
134204,30073,,0.000102561,7.20E-05,,3,3
134205,30073,,0.014221736,0.009988235,,416,416
134206,30003,1.73E-05,0.035826862,0.011131393,1,932,933
134206,30073,,0.000170934,0.000120051,,5,5
134207,30003,0.056052454,7.69E-05,0.038679504,3240,2,3242
134208,30003,,0.003152149,0.000978322,,82,82
134209,30003,,0.000384408,0.000119308,,10,10
134209,30073,,0.020785614,0.01459819,,608,608
134210,30003,,0.000269086,8.35E-05,,7,7
134211,30003,,0.025486277,0.00791009,,663,663
134212,30003,,0.00365188,0.001133422,,95,95
134214,30149,,0.011242517,0.004724506,,154,154
134215,30003,,0.001153225,0.000357923,,30,30
134215,30149,,0.080887721,0.033991901,,1108,1108
134216,30149,,0.017082786,0.007178795,,234,234
134218,30104,,0.026280074,0.012288698,,213,213
134219,30104,,0.000740284,0.000346161,,6,6
134220,30059,,0.001304291,0.000657289,,10,10
134220,30104,,0.003578038,0.001673109,,29,29
134221,30059,,0.005217164,0.002629157,,40,40
134222,30122,,0.037190635,0.017474386,,278,278
134223,30122,,0.0290301,0.013640078,,217,217
134224,30059,,0.000652146,0.000328645,,5,5
134224,30122,,0.040668896,0.019108681,,304,304
134225,30048,,0.000397575,6.80E-05,,8,8
134226,30048,,0.067438624,0.01152657,,1357,1357
134230,30039,6.74E-05,,6.55E-05,20,,20
134230,30048,0.026443047,0.013070271,0.02415738,2581,263,2844
134231,30206,0.000790858,,0.000738171,20,,20
134232,30039,0.016271502,0.000237473,0.015829129,4830,2,4832
134232,30206,0.123057456,0.00498615,0.115191555,3112,9,3121
134233,30039,0.01209077,,0.011757191,3589,,3589
134233,30206,,0.053739612,0.003580128,,97,97
134234,30039,0,0.064117787,0.001768984,0,540,540
134234,30206,,0.082548476,0.005499373,,149,149
134235,30039,,0.00106863,2.95E-05,,9,9
134235,30111,,0.151272167,0.060856079,,981,981
134236,30039,,0.00142484,3.93E-05,,12,12
134236,30111,,0.056437934,0.022704715,,366,366
134237,30039,,0.001187366,3.28E-05,,10,10
134237,30111,,0.041634541,0.01674938,,270,270
134237,30204,,0.000762079,0.000108672,,5,5
134238,30204,,0.001371742,0.00019561,,9,9
134239,30204,,0.004724889,0.000673767,,31,31
134240,30204,,0.043743332,0.006237774,,287,287
134241,30204,,0.009297363,0.001325799,,61,61
134242,30204,,0.099222679,0.014149098,,651,651
134244,27008,,0.000868551,0.000568936,,102,102
134245,27008,0.003427925,0.003150625,0.003246282,212,370,582
