GRIDCODE,CVENTMUN,Ft
64268,20235,0.292967357
64269,20126,0.07174707
64271,20170,0.009109284
64272,20146,0.015428376
64272,20170,0.269988596
64272,20170,0.113159133
64273,20170,0.049261193
64277,20125,0.03227021
64291,20410,0.105319355
64296,20052,0.153851585
64297,20052,0.010385983
64303,20515,0.06423617
64304,20515,0.097587751
64305,20515,0.094854274
64306,20515,0.117858956
64307,20515,0.015512349
64312,20515,0.002349419
64312,20124,0.004237066
64312,20515,0.024939159
64312,20515,0.054799624
64312,20515,0.043096051
64329,20130,0.029834478
64334,20141,0.005531837
64335,20141,0.217391554
64336,20141,0.061164609
64337,20143,0.08692009
64338,20141,0.035021171
64338,20143,0.107171547
64348,20025,0.05426942
64349,20025,0.249957855
64349,20025,0.04560771
64382,7108,0.011470894
64412,7083,0.017991151
64430,7099,0.01445811
64431,7099,0.011648411
64433,7099,0.014899648
64434,7099,0.006297708
64446,7052,0.07827981
64447,7099,0.004570219
64447,7052,0.13358034
64452,7115,0.185439991
64453,7115,0.138350178
65254,12023,0.021262031
65255,12023,0.062573302
65256,12023,0.041826751
65261,20474,0.025176738
65261,20402,0.406667093
65262,20474,0.120323269
65262,20402,0.140946035
65272,20312,0.431884529
65273,20188,0.098523113
65273,20312,0.182545868
65274,20188,0.050752819
65274,20188,0.255013283
65282,20082,0.044233596
65282,20467,0.059674053
65283,20489,0.041780619
65283,20082,0.306206713
65283,20466,0.00410864
65315,20563,0.153152563
65315,20563,0.348495051
65316,20289,0.257207117
65316,20563,0.164808191
65317,20289,0.134825259
65317,20289,0.071330888
65317,20289,0.31015715
65318,20059,0.046681992
65318,20351,0.559969212
65332,20170,0.509690761
65333,20170,0.048480874
65333,20316,0.303969393
65334,20316,0.2633188
65334,20316,0.026431452
65335,20316,0.021637498
65350,20410,0.057235854
65351,20410,0.06325495
65356,20052,0.148122692
65357,20052,0.043970874
65366,20515,0.00914125
65371,20515,0.050709683
65371,20515,0.053794746
65388,20130,0.21061084
65389,20130,0.118802147
65395,20141,0.12340218
65396,20141,0.177015012
65397,20141,0.00498216
65397,20143,0.199495873
65441,7108,0.009861593
65489,7099,0.004188966
65489,7041,0.086834697
65492,7099,0.016961091
65492,7041,0.012101164
65493,7099,0.002125909
65494,7041,0.010388481
65495,7041,0.080461414
65505,7052,0.00870697
65506,7052,0.090680167
65507,7052,0.075724645
65510,7115,0.127986685
65511,7115,0.247256038
66317,12023,0.051277528
66317,20180,0.130593237
66318,20180,0.015379154
66318,20180,0.029771801
66319,20180,0.279639465
66320,20474,0.063197286
66320,20474,0.106997116
66320,20180,0.044649299
66320,20474,0.17743556
66321,20474,0.043410805
66321,20474,0.004438006
66331,20302,0.36239056
66332,20302,0.63760944
66332,20312,0.041637427
66333,20188,0.217933032
66334,20188,0.294200583
66342,20466,0.228179946
66374,20563,0.090242258
66376,20289,0.114807951
66377,20059,0.011249461
66377,20351,0.027277531
66377,20059,0.009147723
66377,20289,0.111671635
66394,20316,0.259161857
66395,20125,0.049090458
66395,20316,0.125481
66396,20125,0.084708662
66403,20122,0.089112277
66404,20122,0.244801241
66405,20122,0.141730433
66416,20052,0.09070641
66417,20052,0.012124607
66421,20418,0.002319748
66422,20418,0.041331402
66430,20515,0.008993266
66431,20515,0.09519675
66439,20043,0.087388369
66448,20130,0.207934907
66456,20141,0.007208193
66456,20143,0.348895284
66456,20143,0.075352804
66500,7108,0.033404266
66500,7108,0.007711424
66501,7108,0.036955337
66547,7041,0.059617216
66547,7041,0.025861174
66548,7041,0.004437209
66548,7041,0.024472338
66548,7041,0.002167329
66548,7041,0.014817929
66548,7041,0.0165211
66549,7041,0.054653988
66550,7041,0.026943761
66550,7041,0.03790444
66550,7041,0.020600447
66551,7041,0.017565592
66551,7041,0.011504897
66552,7041,0.018986976
66553,7041,0.110247039
66566,7052,0.076857155
66567,7052,0.10750553
66568,7052,0.095319208
66569,7115,0.131400061
66569,7052,0.008830875
67375,12023,0.127161578
67376,12023,0.036137971
67376,20180,0.090826446
67377,20180,0.409140598
67379,20474,0.285895744
67380,20474,0.173125476
